"title","station","description","issues","medium","character","url","imageURL","bcastId","documentId"
"Die Rosenheim-Cops","ZDF","Jeden Dienstag ermitteln die Rosenheim-Cops in Mordfällen - auf ihre ganz unnachahmliche und kuriose Art.","97","tv","D","https://www.zdf.de//serien/die-rosenheim-cops","https://www.zdf.de/assets/sendungsteaser-die-rosenheim-cops-100~1920x1080?cb=1477654157604"
"Die schönsten Weihnachts-Hits","ZDF","Weihnachten, Carmen Nebel, MISEREOR, Brot für die Welt, Spendengala, Hilsprojekte","17","tv","D","https://www.zdf.de//show/die-schoensten-weihnachts-hits","https://www.zdf.de/assets/die-schoensten-weihnachtshits-sendungsteaser-100~1920x1080?cb=1478606669425"
"Dietrich Grönemeyer – Leben ist mehr!","","Arzt und Moderator Dietrich Grönemeyer trifft an Feiertagen Menschen in Umbruchsituationen.","23","tv","D","https://www.zdf.de//gesellschaft/dietrich-groenemeyer-leben-ist-mehr","https://www.zdf.de/assets/dietrich-groenemeyer-sendungsteaser-100~1920x1080?cb=1477639060842"
"Dr. Klein","ZDF","Jeden Freitag begegnet die kleinwüchsige Kinderärztin Dr. Valerie Klein ihren Patienten auf Augenhöhe - und managt parallel ihre turbulente Familie.","29","tv","D","https://www.zdf.de//serien/dr-klein","https://www.zdf.de/assets/sendungsteaser-doktor-klein-100~1920x1080?cb=1477654822625"
"drehscheibe","ZDF","Ein aktueller Blick durchs Land","997","tv","D","https://www.zdf.de//nachrichten/drehscheibe","https://www.zdf.de/assets/drehscheibe-sendungsteaser-100~1920x1080?cb=1477639898193"
"Echo Klassik","ZDF","ECHO Klassik: Preisverleihungsgala mit internationalen Klassik-Stars","39","tv","E","https://www.zdf.de//show/echo-klassik","https://www.zdf.de/assets/echo-klassik-sendungsteaser-100~1920x1080?cb=1477639148888"
"Ein Fall für zwei","ZDF","Das Ermittlerduo Benni Hornberg (Antoine Monot Jr.) als  Verteidiger und Leo Oswald (Wanja Mues) als Detektiv im Krimi-Klassiker ""Ein Fall für zwei"".","71","tv","E","https://www.zdf.de//serien/ein-fall-fuer-zwei","https://www.zdf.de/assets/sendungsteaser-ein-fall-fuer-zwei-100~1920x1080?cb=1477655362511"
"Ein guter Grund zu feiern","","Spurensuche an Feiertagen: Andreas Korn möchte wissen, was genau an Dreikönig, Mariä Himmelfahrt, Allerheiligen und Fronleichnam gefeiert wird.","29","tv","E","https://www.zdf.de//gesellschaft/ein-guter-grund-zu-feiern","https://www.zdf.de/assets/ein-guter-grund-zu-feiern-sendungsteaser-100~1920x1080?cb=1477639294132"
"Ein Herz für Kinder","ZDF","Johannes B. Kerner präsentiert die große Spendengala","19","tv","E","https://www.zdf.de//show/ein-herz-fuer-kinder","https://www.zdf.de/assets/sendungsteaser-ein-herz-fuer-kinder-100~1920x1080?cb=1481284161844"
"Ein starkes Team","ZDF","ZDF-Samstagskrimi-Reihe mit Florian Martens und Stefanie Stappenbeck in den Hauptrollen","16","tv","E","https://www.zdf.de//filme/ein-starkes-team","https://www.zdf.de/assets/ein-starkes-team-sendungsteaser-100~1920x1080?cb=1477639350909"
